event_id,timestamp,market,creator_tier,content_category,policy_category,intervention_type,detection_method,severity_score,is_proactive_removal,removed_within_24h,is_false_positive,baseline_ccv,ccv_lost_5min,ccv_recovered_15min,drop_off_rate,recovery_rate,creator_ack_seconds,scale_factor
EVT_03043,2026-01-01 17:50:21,US,Nano,Fitness,minor_safety,escalated_review_flag,automated,3.26,True,True,False,176,52,6,0.2964,0.122,,262.9
EVT_04005,2026-01-01 19:14:05,US,Micro,Gaming,minor_safety,content_warning_overlay,user_report,1.39,True,True,False,1589,203,29,0.1281,0.1469,,262.9
EVT_01292,2026-01-01 19:25:18,US,Micro,Fitness,adult_nudity_sexual,caption_text_removal,automated,1.69,True,True,False,1380,34,4,0.0247,0.1392,,262.9
EVT_01974,2026-01-01 19:31:52,US,Macro,Fitness,misinformation,audio_mute,human_review,2.78,True,True,False,34558,13595,1794,0.3934,0.132,49.0,262.9
EVT_00965,2026-01-01 19:38:47,US,Nano,Fitness,illegal_regulated_goods,caption_text_removal,automated,1.7,True,True,False,168,20,2,0.1192,0.1466,,262.9
EVT_01552,2026-01-01 19:53:41,US,Mid,Fitness,illegal_regulated_goods,escalated_review_flag,automated,3.64,True,True,False,9022,1356,223,0.1503,0.1651,,262.9
EVT_02108,2026-01-01 20:22:14,US,Nano,Gaming,violent_graphic,caption_text_removal,automated,1.61,True,True,False,151,10,1,0.0676,0.1466,,262.9
EVT_00595,2026-01-01 20:48:29,US,Nano,Fitness,minor_safety,content_warning_overlay,automated,1.53,True,True,False,133,19,2,0.1478,0.1316,,262.9
EVT_00118,2026-01-01 21:53:51,US,Micro,Fitness,minor_safety,escalated_review_flag,automated,3.75,True,True,False,1758,315,33,0.1793,0.1075,,262.9
EVT_02578,2026-01-01 22:40:07,US,Micro,Gaming,misinformation,audio_mute,automated,2.53,True,True,False,1489,441,46,0.2963,0.1059,,262.9
EVT_00991,2026-01-01 23:03:00,US,Macro,Talk,illegal_regulated_goods,caption_text_removal,automated,1.61,True,True,False,57622,8013,837,0.1391,0.1046,,262.9
EVT_01339,2026-01-01 23:25:02,US,Micro,Talk,illegal_regulated_goods,content_warning_overlay,human_review,2.18,True,True,False,1484,306,27,0.2066,0.0911,,262.9
EVT_00519,2026-01-02 00:40:49,US,Mid,Commerce,minor_safety,escalated_review_flag,automated,3.71,True,True,False,6192,356,37,0.0576,0.1047,,262.9
EVT_02405,2026-01-02 00:56:49,US,Micro,Fitness,violent_graphic,audio_mute,automated,2.21,True,True,False,1077,455,47,0.4229,0.1048,,262.9
EVT_02730,2026-01-02 01:07:11,US,Nano,Talk,adult_nudity_sexual,caption_text_removal,automated,1.64,True,True,False,191,28,1,0.1506,0.0604,,262.9
EVT_01254,2026-01-02 01:24:04,US,Nano,Music,illegal_regulated_goods,stream_pause,automated,2.95,True,True,False,254,35,2,0.1393,0.0742,,262.9
EVT_04147,2026-01-02 01:53:10,US,Nano,Music,minor_safety,audio_mute,user_report,2.2,True,True,False,178,60,9,0.3376,0.1557,,262.9
EVT_03371,2026-01-02 01:55:01,US,Nano,Music,adult_nudity_sexual,stream_pause,automated,4.09,True,True,False,177,40,2,0.2281,0.0575,,262.9
EVT_00507,2026-01-02 01:58:54,US,Nano,Commerce,misinformation,escalated_review_flag,human_review,4.63,True,False,False,292,54,0,0.1856,0.0,,262.9
EVT_01781,2026-01-02 02:04:58,US,Micro,Gaming,minor_safety,stream_pause,automated,3.87,True,True,False,1069,225,9,0.2106,0.0422,,262.9
EVT_01237,2026-01-02 02:53:08,US,Micro,Talk,minor_safety,escalated_review_flag,automated,4.22,True,True,False,867,121,20,0.1406,0.1661,,262.9
EVT_03937,2026-01-02 03:13:26,US,Mid,Fitness,hate_speech,escalated_review_flag,automated,4.63,True,True,False,6420,1499,115,0.2336,0.0773,,262.9
EVT_04090,2026-01-02 03:16:51,US,Nano,Fitness,illegal_regulated_goods,escalated_review_flag,automated,3.81,True,True,False,263,78,7,0.2985,0.1,,262.9
EVT_02425,2026-01-02 03:21:52,US,Micro,Gaming,spam_fake_engagement,content_warning_overlay,automated,1.35,True,True,False,1389,299,33,0.2157,0.1134,,262.9
EVT_00351,2026-01-02 04:07:05,US,Macro,Fitness,minor_safety,content_warning_overlay,automated,1.22,True,True,False,47002,10894,851,0.2318,0.0781,,262.9
EVT_01631,2026-01-02 05:18:35,US,Nano,Education,adult_nudity_sexual,audio_mute,automated,1.93,True,True,False,101,51,2,0.5117,0.0482,,262.9
EVT_00357,2026-01-02 05:30:41,US,Nano,Fitness,adult_nudity_sexual,audio_mute,automated,2.59,True,True,False,302,154,13,0.5126,0.0858,121.0,262.9
EVT_02802,2026-01-02 05:40:09,US,Mid,Talk,minor_safety,audio_mute,automated,2.12,True,True,False,7691,2735,384,0.3556,0.1407,160.0,262.9
EVT_00804,2026-01-02 06:03:13,US,Mid,Talk,violent_graphic,caption_text_removal,automated,1.7,True,True,False,5164,462,0,0.0895,0.0,,262.9
EVT_02223,2026-01-02 06:23:23,US,Macro,Gaming,misinformation,content_warning_overlay,automated,1.88,True,True,False,85069,14782,928,0.1738,0.0628,,262.9
EVT_01042,2026-01-02 06:58:18,US,Micro,Education,adult_nudity_sexual,content_warning_overlay,automated,1.88,True,True,False,1097,151,24,0.1381,0.1624,,262.9
EVT_01169,2026-01-02 07:34:42,US,Nano,Education,hate_speech,audio_mute,automated,2.53,True,True,False,310,90,8,0.2923,0.098,57.0,262.9
EVT_01404,2026-01-02 07:47:08,US,Mid,Talk,spam_fake_engagement,caption_text_removal,automated,1.56,True,True,False,7621,1086,121,0.1425,0.1116,,262.9
EVT_01149,2026-01-02 07:50:01,US,Micro,Education,minor_safety,audio_mute,user_report,2.15,True,True,False,1449,349,47,0.2411,0.137,108.0,262.9
EVT_00629,2026-01-02 08:00:03,US,Mid,Gaming,minor_safety,audio_mute,user_report,2.74,True,True,False,3426,1276,163,0.3726,0.1281,,262.9
EVT_01220,2026-01-02 09:03:27,US,Micro,Talk,hate_speech,stream_pause,automated,3.99,True,True,False,865,237,0,0.2748,0.0,,262.9
EVT_01037,2026-01-02 10:56:23,US,Micro,Education,illegal_regulated_goods,content_warning_overlay,automated,2.26,True,True,False,820,184,22,0.225,0.1212,,262.9
EVT_00549,2026-01-02 11:48:23,US,Nano,Music,minor_safety,audio_mute,automated,2.17,True,True,False,240,57,2,0.2409,0.0513,225.0,262.9
EVT_03020,2026-01-02 13:48:15,US,Mid,Gaming,minor_safety,audio_mute,automated,2.63,True,True,False,9691,3561,397,0.3675,0.1116,,262.9
EVT_04177,2026-01-02 14:54:33,US,Macro,Talk,minor_safety,caption_text_removal,automated,1.61,True,True,False,38622,4875,613,0.1262,0.1258,,262.9
EVT_02770,2026-01-02 15:00:51,US,Nano,Gaming,illegal_regulated_goods,audio_mute,automated,2.57,True,True,False,131,52,5,0.4032,0.104,1.0,262.9
EVT_04120,2026-01-02 15:40:31,US,Micro,Music,hate_speech,escalated_review_flag,automated,3.78,True,True,False,966,148,14,0.1541,0.0963,,262.9
EVT_00284,2026-01-02 15:56:42,US,Micro,Gaming,adult_nudity_sexual,audio_mute,automated,2.19,True,True,False,793,267,27,0.337,0.1048,,262.9
EVT_01806,2026-01-02 16:38:22,US,Micro,Talk,minor_safety,caption_text_removal,user_report,1.13,True,True,False,970,61,3,0.0636,0.0554,,262.9
EVT_01041,2026-01-02 17:07:28,US,Micro,Talk,hate_speech,audio_mute,automated,2.11,True,True,False,1546,477,46,0.3089,0.0978,66.0,262.9
EVT_01145,2026-01-02 17:09:14,US,Micro,Commerce,minor_safety,audio_mute,automated,2.58,True,True,False,686,207,29,0.3031,0.1403,380.0,262.9
EVT_01030,2026-01-02 18:05:49,US,Micro,Commerce,minor_safety,escalated_review_flag,human_review,4.21,True,True,False,385,76,4,0.1981,0.064,,262.9
EVT_00913,2026-01-02 18:14:50,US,Nano,Fitness,illegal_regulated_goods,audio_mute,user_report,2.69,True,True,False,161,38,4,0.2384,0.1215,34.0,262.9
EVT_02767,2026-01-02 20:50:01,US,Micro,Talk,spam_fake_engagement,caption_text_removal,automated,1.53,True,True,False,1910,161,19,0.0846,0.1207,,262.9
EVT_02222,2026-01-02 21:32:36,US,Nano,Talk,misinformation,escalated_review_flag,automated,4.32,True,True,False,142,20,0,0.1428,0.0,,262.9
EVT_02549,2026-01-02 21:51:30,US,Micro,Commerce,illegal_regulated_goods,stream_pause,automated,2.81,True,True,False,1563,500,58,0.3204,0.1177,,262.9
EVT_02727,2026-01-02 22:04:26,US,Mid,Fitness,illegal_regulated_goods,caption_text_removal,human_review,1.24,True,True,False,7890,1368,145,0.1734,0.1065,,262.9
EVT_01401,2026-01-02 22:25:00,US,Mid,Education,violent_graphic,audio_mute,user_report,1.56,True,True,False,5167,2383,298,0.4612,0.1253,,262.9
EVT_00866,2026-01-03 00:18:54,US,Mid,Music,illegal_regulated_goods,audio_mute,automated,1.89,True,True,False,5821,2353,251,0.4043,0.107,,262.9
EVT_01310,2026-01-03 02:27:59,US,Nano,Education,adult_nudity_sexual,audio_mute,automated,2.31,True,True,False,223,121,16,0.5432,0.1358,58.0,262.9
EVT_00257,2026-01-03 02:43:43,US,Micro,Education,adult_nudity_sexual,content_warning_overlay,automated,2.04,True,True,False,1304,217,24,0.1667,0.1111,,262.9
EVT_01814,2026-01-03 02:58:56,US,Micro,Gaming,adult_nudity_sexual,caption_text_removal,automated,1.05,True,True,False,824,165,19,0.2004,0.1194,,262.9
EVT_00391,2026-01-03 03:03:38,US,Nano,Education,minor_safety,audio_mute,automated,2.06,True,True,False,412,137,14,0.3334,0.1051,768.0,262.9
EVT_01242,2026-01-03 03:09:48,US,Nano,Music,adult_nudity_sexual,audio_mute,automated,2.14,True,True,False,221,51,5,0.232,0.1176,6.0,262.9
EVT_03330,2026-01-03 04:29:33,US,Mid,Fitness,illegal_regulated_goods,content_warning_overlay,automated,1.31,True,True,False,3887,541,51,0.1392,0.0951,,262.9
EVT_00789,2026-01-03 04:32:31,US,Nano,Education,adult_nudity_sexual,stream_pause,automated,3.26,True,True,False,159,33,4,0.2134,0.1268,,262.9
EVT_01747,2026-01-03 04:33:58,US,Nano,Gaming,illegal_regulated_goods,caption_text_removal,human_review,1.34,True,True,False,87,6,0,0.0726,0.0737,,262.9
EVT_03856,2026-01-03 04:55:04,US,Mid,Education,spam_fake_engagement,stream_pause,automated,2.98,True,True,False,3636,640,87,0.1761,0.1367,,262.9
EVT_03366,2026-01-03 05:22:44,US,Nano,Gaming,violent_graphic,content_warning_overlay,user_report,1.82,True,True,False,234,59,6,0.2554,0.1128,,262.9
EVT_01805,2026-01-03 05:29:12,US,Micro,Music,adult_nudity_sexual,audio_mute,automated,1.55,True,True,False,1358,585,73,0.431,0.126,108.0,262.9
EVT_03180,2026-01-03 05:29:43,US,Nano,Commerce,hate_speech,content_warning_overlay,automated,1.93,True,True,False,399,64,4,0.1628,0.0761,,262.9
EVT_03199,2026-01-03 05:57:57,US,Nano,Talk,minor_safety,audio_mute,automated,1.67,True,True,False,205,59,4,0.2879,0.0797,,262.9
EVT_02230,2026-01-03 06:27:52,US,Nano,Education,illegal_regulated_goods,content_warning_overlay,human_review,1.81,True,True,False,247,38,1,0.1574,0.0411,,262.9
EVT_03622,2026-01-03 07:03:09,US,Nano,Gaming,hate_speech,stream_pause,human_review,3.41,False,True,False,395,91,9,0.2316,0.1028,,262.9
EVT_02573,2026-01-03 07:04:29,US,Nano,Fitness,spam_fake_engagement,escalated_review_flag,automated,4.7,True,True,False,306,28,1,0.0919,0.0547,,262.9
EVT_00045,2026-01-03 07:08:31,US,Micro,Music,illegal_regulated_goods,caption_text_removal,automated,1.29,True,True,False,1163,87,6,0.0755,0.0774,,262.9
EVT_01537,2026-01-03 07:10:33,US,Mid,Gaming,minor_safety,caption_text_removal,automated,1.09,True,True,False,6783,1132,69,0.1669,0.0611,,262.9
EVT_00367,2026-01-03 07:42:53,US,Macro,Music,adult_nudity_sexual,caption_text_removal,automated,1.6,True,True,False,38887,5713,873,0.1469,0.1529,,262.9
EVT_01836,2026-01-03 08:14:59,US,Nano,Gaming,violent_graphic,audio_mute,automated,2.46,True,True,False,302,38,5,0.1279,0.1375,153.0,262.9
EVT_01324,2026-01-03 08:29:25,US,Micro,Talk,hate_speech,audio_mute,automated,2.49,True,True,False,2104,718,53,0.3413,0.0747,6.0,262.9
EVT_03167,2026-01-03 09:15:48,US,Micro,Music,minor_safety,content_warning_overlay,automated,1.68,True,True,False,1043,216,25,0.2071,0.1192,,262.9
EVT_03159,2026-01-03 09:37:51,US,Micro,Fitness,minor_safety,content_warning_overlay,automated,2.22,True,True,False,559,129,21,0.232,0.169,,262.9
EVT_03184,2026-01-03 09:58:50,US,Mid,Education,minor_safety,content_warning_overlay,user_report,1.74,True,True,False,5288,1287,154,0.2434,0.1203,,262.9
EVT_03049,2026-01-03 10:06:30,US,Micro,Education,illegal_regulated_goods,audio_mute,automated,2.38,True,True,False,862,332,17,0.3862,0.052,,262.9
EVT_02561,2026-01-03 10:08:30,US,Mid,Education,adult_nudity_sexual,audio_mute,human_review,2.36,True,True,False,8488,2184,252,0.2574,0.1155,7.0,262.9
EVT_02338,2026-01-03 10:59:36,US,Micro,Education,spam_fake_engagement,audio_mute,automated,2.54,True,True,False,1221,377,24,0.309,0.0661,29.0,262.9
EVT_02854,2026-01-03 11:29:49,US,Mid,Commerce,minor_safety,audio_mute,human_review,2.51,True,True,False,8151,2092,199,0.2567,0.0953,105.0,262.9
EVT_00406,2026-01-03 11:58:06,US,Nano,Gaming,minor_safety,content_warning_overlay,automated,1.23,True,True,False,232,37,4,0.1631,0.1199,,262.9
EVT_01567,2026-01-03 12:11:18,US,Micro,Talk,illegal_regulated_goods,content_warning_overlay,human_review,1.99,True,True,False,1104,230,17,0.2088,0.0751,,262.9
EVT_01349,2026-01-03 12:33:57,US,Nano,Music,adult_nudity_sexual,stream_pause,automated,3.84,True,True,False,131,38,3,0.2964,0.0881,,262.9
EVT_01895,2026-01-03 12:55:43,US,Mid,Gaming,illegal_regulated_goods,escalated_review_flag,automated,3.51,True,True,False,10456,1596,58,0.1526,0.0366,,262.9
EVT_00207,2026-01-03 13:14:46,US,Nano,Talk,minor_safety,stream_pause,automated,4.16,True,True,False,227,49,6,0.2172,0.1373,,262.9
EVT_00825,2026-01-03 14:19:45,US,Nano,Fitness,misinformation,audio_mute,automated,2.21,True,True,False,245,72,5,0.2963,0.0752,6.0,262.9
EVT_03615,2026-01-03 14:21:37,US,Micro,Talk,misinformation,content_warning_overlay,automated,1.94,True,True,False,872,58,9,0.0666,0.1639,,262.9
EVT_02342,2026-01-03 14:25:22,US,Nano,Education,violent_graphic,content_warning_overlay,automated,1.53,True,True,False,428,48,5,0.1131,0.1064,,262.9
EVT_00306,2026-01-03 14:43:08,US,Nano,Gaming,minor_safety,escalated_review_flag,user_report,4.06,True,True,False,120,13,1,0.113,0.1467,,262.9
EVT_02260,2026-01-03 16:12:39,US,Nano,Talk,illegal_regulated_goods,escalated_review_flag,automated,3.27,True,True,False,294,66,5,0.2259,0.09,,262.9
EVT_01622,2026-01-03 16:15:32,US,Mid,Music,illegal_regulated_goods,audio_mute,user_report,2.54,True,True,False,4966,1685,89,0.3394,0.053,,262.9
EVT_00214,2026-01-03 18:06:54,US,Nano,Education,adult_nudity_sexual,caption_text_removal,human_review,1.5,True,True,False,402,4,0,0.01,0.0922,,262.9
EVT_04027,2026-01-03 18:23:14,US,Nano,Talk,spam_fake_engagement,caption_text_removal,automated,1.28,True,True,False,259,28,5,0.1085,0.1939,,262.9
EVT_02951,2026-01-03 18:48:36,US,Mid,Music,minor_safety,stream_pause,automated,3.57,True,True,False,9203,1261,219,0.1371,0.1742,,262.9
EVT_01737,2026-01-03 19:08:58,US,Mid,Talk,illegal_regulated_goods,content_warning_overlay,automated,1.21,True,True,False,6757,1548,158,0.2292,0.1022,,262.9
EVT_02180,2026-01-03 20:00:14,US,Nano,Talk,spam_fake_engagement,content_warning_overlay,automated,1.62,True,True,False,183,35,3,0.1927,0.0997,,262.9
EVT_03173,2026-01-03 20:20:06,US,Micro,Talk,hate_speech,audio_mute,human_review,1.98,True,True,False,1563,508,50,0.3256,0.0994,123.0,262.9
EVT_02601,2026-01-03 20:25:32,US,Nano,Music,misinformation,stream_pause,automated,3.52,True,True,False,346,55,5,0.1615,0.0994,,262.9
EVT_00294,2026-01-03 21:01:58,US,Nano,Gaming,hate_speech,content_warning_overlay,user_report,2.25,True,True,False,154,40,1,0.2661,0.0426,,262.9
EVT_00922,2026-01-03 21:21:09,US,Mid,Fitness,spam_fake_engagement,escalated_review_flag,user_report,3.54,True,True,False,6273,303,33,0.0484,0.1114,,262.9
EVT_01886,2026-01-03 21:24:49,US,Nano,Education,adult_nudity_sexual,caption_text_removal,automated,1.49,True,True,False,200,30,1,0.154,0.0589,,262.9
EVT_03588,2026-01-03 21:41:32,US,Nano,Gaming,hate_speech,audio_mute,automated,2.29,True,True,False,147,47,5,0.3232,0.1068,118.0,262.9
EVT_01566,2026-01-03 21:51:31,US,Macro,Commerce,violent_graphic,caption_text_removal,automated,1.14,True,True,False,68866,5300,398,0.077,0.0752,,262.9
EVT_02558,2026-01-03 21:57:48,US,Nano,Fitness,adult_nudity_sexual,escalated_review_flag,automated,3.44,True,True,False,143,34,3,0.2387,0.1085,,262.9
EVT_00215,2026-01-03 22:34:16,US,Nano,Commerce,minor_safety,caption_text_removal,automated,1.34,True,True,False,199,15,2,0.0764,0.1417,,262.9
EVT_01438,2026-01-03 22:53:55,US,Micro,Gaming,violent_graphic,escalated_review_flag,automated,3.86,True,True,False,1184,184,14,0.1556,0.0789,,262.9
EVT_02229,2026-01-03 23:23:03,US,Micro,Fitness,violent_graphic,stream_pause,automated,2.92,True,True,False,1135,271,33,0.2394,0.1228,,262.9
EVT_00152,2026-01-03 23:26:10,US,Macro,Talk,spam_fake_engagement,audio_mute,automated,1.65,True,True,False,56499,22693,2646,0.4017,0.1166,,262.9
EVT_03207,2026-01-04 00:49:09,US,Macro,Talk,illegal_regulated_goods,content_warning_overlay,automated,2.01,True,True,False,27333,7476,807,0.2736,0.108,,262.9
EVT_01864,2026-01-04 01:07:10,US,Micro,Commerce,illegal_regulated_goods,audio_mute,automated,2.6,True,True,False,3167,1096,158,0.3463,0.1449,37.0,262.9
EVT_03819,2026-01-04 02:02:17,US,Nano,Talk,adult_nudity_sexual,stream_pause,human_review,3.69,True,True,False,194,47,3,0.247,0.073,,262.9
EVT_02104,2026-01-04 02:22:22,US,Mid,Gaming,illegal_regulated_goods,audio_mute,automated,1.93,True,True,False,7181,1803,237,0.2511,0.1318,,262.9
EVT_01547,2026-01-04 02:45:40,US,Micro,Gaming,minor_safety,caption_text_removal,user_report,1.35,True,True,False,1274,106,9,0.0838,0.0895,,262.9
EVT_03278,2026-01-04 02:49:21,US,Micro,Talk,adult_nudity_sexual,escalated_review_flag,automated,3.82,True,True,False,677,54,8,0.0798,0.158,,262.9
EVT_03332,2026-01-04 03:18:24,US,Nano,Fitness,violent_graphic,caption_text_removal,automated,1.5,True,True,False,440,55,6,0.1272,0.1126,,262.9
EVT_02825,2026-01-04 03:22:39,US,Nano,Music,minor_safety,caption_text_removal,automated,1.65,True,True,False,405,42,5,0.1051,0.1281,,262.9
EVT_02669,2026-01-04 03:27:19,US,Nano,Education,minor_safety,content_warning_overlay,human_review,1.45,True,True,False,199,30,2,0.1533,0.0997,,262.9
EVT_01892,2026-01-04 03:41:02,US,Micro,Fitness,misinformation,content_warning_overlay,automated,1.98,True,True,False,1046,213,30,0.2038,0.1438,,262.9
EVT_02734,2026-01-04 03:44:01,US,Macro,Music,hate_speech,audio_mute,automated,2.2,True,True,False,68512,27398,2253,0.3999,0.0823,,262.9
EVT_02574,2026-01-04 03:47:53,US,Micro,Music,violent_graphic,content_warning_overlay,user_report,1.41,True,True,False,485,131,11,0.2704,0.0865,,262.9
